State,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female,Out of Total - Foreign Students - Male,Out of Total - Foreign Students - Female
Andaman & Nicobar Islands,3168,3522,36,26,20,71,352,483,2,1,72,98,51,98,0,0
Andhra Pradesh,738658,533663,106317,80863,29744,21209,283510,194889,618,367,17367,10936,2132,2080,558,122
Arunachal Pradesh,12586,13521,175,74,10270,11934,458,227,28,4,27,21,145,217,0,0
Assam,222678,225700,18364,17319,29503,32435,54094,63014,272,209,21275,19473,1878,1965,83,22
Bihar,643093,450306,66815,37917,7339,4924,254436,175337,796,583,56319,40347,1759,1123,165,14
Chandigarh,45462,37615,3807,3179,728,565,1763,917,110,53,123,17,2840,1177,348,156
Chhatisgarh,199700,175966,23857,19089,30011,27291,75054,60380,240,113,1374,1529,978,2017,26,9
Dadra & Nagar Haveli,1911,1411,29,25,379,167,93,56,2,0,27,5,3,3,0,0
Daman & Diu,1191,856,73,53,177,99,182,91,0,1,36,26,25,23,1,0
Delhi,449890,392041,48104,38099,7881,5891,50951,30104,1680,708,8379,4316,1649,2987,1119,721
Goa,17142,22511,378,381,1032,1278,2458,3155,19,10,554,577,1922,3015,133,16
Gujarat,764133,543132,60559,42523,55224,49502,201757,129502,1104,621,14139,9790,1071,1100,329,227
Haryana,339856,249850,46346,31389,672,543,68778,50904,491,177,3877,748,4115,3932,387,144
Himachal Pradesh,94147,94524,13990,13281,4343,4298,9541,9974,128,204,344,160,225,671,70,15
Jammu and Kashmir,144689,155190,6167,7956,5796,4386,10769,7729,277,185,51583,54475,1256,3889,2,1
Jharkhand,195924,187222,17344,13986,21674,28975,52967,54772,393,341,9632,11848,2050,3456,6,2
Karnataka,986024,873555,122240,101144,42471,32529,398709,381615,2426,1099,49254,36421,23924,31715,7208,6033
Kerala,259890,343342,16204,27641,2665,3095,86442,122601,1083,746,26234,36144,26870,38121,99,28
Lakshadweep,55,172,0,0,55,172,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,845698,502914,81947,55011,51593,37317,218513,164345,4305,2065,13077,11332,2769,5625,157,37
Maharashtra,1687874,1235856,167680,125322,66604,37664,385257,290430,1901,2106,40334,32924,18812,18744,2706,1182
Manipur,45081,43620,2280,2321,16482,14801,12882,15488,47,46,1123,1094,361,401,0,0
Meghalaya,22459,24557,258,172,11492,16821,532,277,44,50,416,119,2793,4285,52,41
Mizoram,14853,14743,94,59,13861,13816,175,95,8,5,11,4,3733,3795,1,0
Nagaland,21130,15778,331,269,13187,13795,405,258,5,5,80,65,4903,5076,1,0
Odisha,326736,267615,34703,28840,27821,23103,57519,58233,751,363,2794,2728,642,715,22,1
Puducherry,30824,28726,3762,3352,395,196,14839,15903,95,50,853,714,615,1028,18,9
Punjab,307841,241918,43927,32828,1440,465,23353,17207,2835,1339,2246,573,36444,39393,899,517
Rajasthan,534049,358752,69747,39365,50876,30846,172191,114248,913,317,8467,4907,1122,1380,303,84
Sikkim,8941,10260,354,346,1768,2914,1657,2067,3,1,76,26,59,89,228,342
Tamil Nadu,1735314,1478853,260025,243246,14606,9423,932449,855814,3098,3526,50198,34529,59801,61240,2765,1636
Telangana,525270,432361,82449,68414,45345,31440,224292,178066,1189,440,33010,32911,4708,4244,1955,787
Tripura,36330,26665,6143,4095,6957,4857,5353,3373,57,35,1371,768,272,173,0,0
Uttar Pradesh,1821591,1732160,292748,279001,12560,11014,652624,658045,9143,12885,71315,91473,5774,6235,1505,381
Uttrakhand,154858,144477,19132,16519,4377,5419,19314,17175,108,51,2431,1331,300,408,196,60
West Bengal,939932,719354,161170,115080,28129,20394,58810,39582,3074,1468,93640,72290,2899,4295,510,335
All India,14178978,11582708,1777555,1449185,617477,503649,4332479,3716356,37245,30174,582058,514719,218900,254715,21852,12922
